D_e : 0.074144, D_real_e : 0.060723, D_fake_e : 0.013421, G_e : 1.872798
D_e : 0.031718, D_real_e : 0.013281, D_fake_e : 0.018438, G_e : 1.462193
D_e : 0.049947, D_real_e : 0.038278, D_fake_e : 0.011669, G_e : 2.662340
D_e : 0.142110, D_real_e : 0.019705, D_fake_e : 0.122405, G_e : 2.056726
D_e : 0.250444, D_real_e : 0.249109, D_fake_e : 0.001334, G_e : 1.828750
D_e : 0.045078, D_real_e : 0.032006, D_fake_e : 0.013073, G_e : 2.129189
D_e : 0.222174, D_real_e : 0.219089, D_fake_e : 0.003085, G_e : 2.383257
D_e : 0.022430, D_real_e : 0.001542, D_fake_e : 0.020889, G_e : 2.412792
D_e : 0.026241, D_real_e : 0.008779, D_fake_e : 0.017461, G_e : 1.950235
D_e : 0.021665, D_real_e : 0.006449, D_fake_e : 0.015216, G_e : 2.389538
D_e : 0.044855, D_real_e : 0.028052, D_fake_e : 0.016804, G_e : 1.930237
D_e : 0.020656, D_real_e : 0.007993, D_fake_e : 0.012662, G_e : 2.041919
D_e : 0.024952, D_real_e : 0.016892, D_fake_e : 0.008060, G_e : 2.429845
D_e : 0.065234, D_real_e : 0.060231, D_fake_e : 0.005002, G_e : 2.792389
D_e : 0.072931, D_real_e : 0.045114, D_fake_e : 0.027817, G_e : 1.342881
D_e : 0.095041, D_real_e : 0.075432, D_fake_e : 0.019610, G_e : 2.508984
D_e : 0.031491, D_real_e : 0.024286, D_fake_e : 0.007205, G_e : 2.525688
D_e : 0.037717, D_real_e : 0.015809, D_fake_e : 0.021908, G_e : 1.354970
D_e : 0.056107, D_real_e : 0.016729, D_fake_e : 0.039378, G_e : 1.902110
D_e : 0.070555, D_real_e : 0.061996, D_fake_e : 0.008560, G_e : 2.148800
D_e : 0.062374, D_real_e : 0.017964, D_fake_e : 0.044410, G_e : 2.010896
D_e : 0.035921, D_real_e : 0.008004, D_fake_e : 0.027917, G_e : 1.545666
D_e : 0.071541, D_real_e : 0.015347, D_fake_e : 0.056194, G_e : 1.655196
D_e : 0.017859, D_real_e : 0.014940, D_fake_e : 0.002920, G_e : 2.770136
D_e : 0.043842, D_real_e : 0.021774, D_fake_e : 0.022068, G_e : 2.545777
D_e : 0.022778, D_real_e : 0.013679, D_fake_e : 0.009099, G_e : 2.669484
D_e : 0.024511, D_real_e : 0.016829, D_fake_e : 0.007682, G_e : 1.183136
D_e : 0.025074, D_real_e : 0.014530, D_fake_e : 0.010544, G_e : 2.183638
D_e : 0.055402, D_real_e : 0.015636, D_fake_e : 0.039766, G_e : 2.053539
D_e : 0.075866, D_real_e : 0.035575, D_fake_e : 0.040291, G_e : 3.456842
D_e : 0.041610, D_real_e : 0.037281, D_fake_e : 0.004329, G_e : 1.197467
D_e : 0.179583, D_real_e : 0.150046, D_fake_e : 0.029537, G_e : 0.870610
D_e : 0.030568, D_real_e : 0.014565, D_fake_e : 0.016003, G_e : 2.340447
D_e : 0.069380, D_real_e : 0.007664, D_fake_e : 0.061716, G_e : 1.977513
D_e : 0.053525, D_real_e : 0.049270, D_fake_e : 0.004255, G_e : 2.480615
D_e : 0.056742, D_real_e : 0.052556, D_fake_e : 0.004185, G_e : 2.557682
D_e : 0.013702, D_real_e : 0.005763, D_fake_e : 0.007939, G_e : 2.720178
D_e : 0.102420, D_real_e : 0.078852, D_fake_e : 0.023569, G_e : 3.162282
D_e : 0.030473, D_real_e : 0.008373, D_fake_e : 0.022100, G_e : 1.248348
D_e : 0.120352, D_real_e : 0.005546, D_fake_e : 0.114805, G_e : 0.761211
D_e : 0.036155, D_real_e : 0.020161, D_fake_e : 0.015994, G_e : 3.085289
D_e : 0.024333, D_real_e : 0.008934, D_fake_e : 0.015399, G_e : 2.279058
D_e : 0.037600, D_real_e : 0.009202, D_fake_e : 0.028398, G_e : 2.323113
D_e : 0.046934, D_real_e : 0.008493, D_fake_e : 0.038441, G_e : 2.265845
D_e : 0.024756, D_real_e : 0.001743, D_fake_e : 0.023013, G_e : 2.188203
D_e : 0.075135, D_real_e : 0.026566, D_fake_e : 0.048569, G_e : 1.580372
D_e : 0.034502, D_real_e : 0.018507, D_fake_e : 0.015995, G_e : 2.368345
D_e : 0.020741, D_real_e : 0.010454, D_fake_e : 0.010287, G_e : 1.800081
D_e : 0.028490, D_real_e : 0.024740, D_fake_e : 0.003750, G_e : 2.378119
D_e : 0.034102, D_real_e : 0.010515, D_fake_e : 0.023587, G_e : 2.825163
D_e : 0.075122, D_real_e : 0.009208, D_fake_e : 0.065914, G_e : 1.943080
D_e : 0.022548, D_real_e : 0.004679, D_fake_e : 0.017869, G_e : 1.873635
D_e : 0.012724, D_real_e : 0.006953, D_fake_e : 0.005771, G_e : 2.669802
D_e : 0.017519, D_real_e : 0.007817, D_fake_e : 0.009703, G_e : 2.788116
D_e : 0.031695, D_real_e : 0.004998, D_fake_e : 0.026697, G_e : 2.229421
D_e : 0.098329, D_real_e : 0.012554, D_fake_e : 0.085775, G_e : 2.081671
D_e : 0.038557, D_real_e : 0.004490, D_fake_e : 0.034067, G_e : 1.523339
D_e : 0.232908, D_real_e : 0.000498, D_fake_e : 0.232410, G_e : 1.276327
D_e : 0.023220, D_real_e : 0.009069, D_fake_e : 0.014151, G_e : 2.116122
D_e : 0.029476, D_real_e : 0.025091, D_fake_e : 0.004386, G_e : 2.675068
D_e : 0.064715, D_real_e : 0.004342, D_fake_e : 0.060374, G_e : 1.467565
D_e : 0.111675, D_real_e : 0.106679, D_fake_e : 0.004997, G_e : 3.282173
D_e : 0.011516, D_real_e : 0.007057, D_fake_e : 0.004459, G_e : 2.472834
D_e : 0.041102, D_real_e : 0.000652, D_fake_e : 0.040450, G_e : 2.494597
D_e : 0.050030, D_real_e : 0.015199, D_fake_e : 0.034830, G_e : 1.365224
D_e : 0.017409, D_real_e : 0.003968, D_fake_e : 0.013440, G_e : 1.913049
D_e : 0.037669, D_real_e : 0.007628, D_fake_e : 0.030041, G_e : 2.632489
D_e : 0.037194, D_real_e : 0.034276, D_fake_e : 0.002918, G_e : 2.896549
D_e : 0.056426, D_real_e : 0.053482, D_fake_e : 0.002944, G_e : 2.796523
D_e : 0.042796, D_real_e : 0.029539, D_fake_e : 0.013257, G_e : 2.754885
D_e : 0.017572, D_real_e : 0.004246, D_fake_e : 0.013327, G_e : 3.231889
D_e : 0.017641, D_real_e : 0.002993, D_fake_e : 0.014648, G_e : 2.800154
D_e : 0.143320, D_real_e : 0.141516, D_fake_e : 0.001804, G_e : 2.176426
D_e : 0.052075, D_real_e : 0.044498, D_fake_e : 0.007577, G_e : 2.109268
D_e : 0.020726, D_real_e : 0.014888, D_fake_e : 0.005838, G_e : 2.562091
D_e : 0.045182, D_real_e : 0.002596, D_fake_e : 0.042586, G_e : 1.906589
D_e : 0.016177, D_real_e : 0.010485, D_fake_e : 0.005692, G_e : 2.937349
D_e : 0.129914, D_real_e : 0.129439, D_fake_e : 0.000474, G_e : 2.880300
D_e : 0.035529, D_real_e : 0.008837, D_fake_e : 0.026691, G_e : 2.302704
D_e : 0.040434, D_real_e : 0.000740, D_fake_e : 0.039694, G_e : 2.280362
D_e : 0.022910, D_real_e : 0.009576, D_fake_e : 0.013335, G_e : 2.777528
D_e : 0.033754, D_real_e : 0.030624, D_fake_e : 0.003130, G_e : 3.225667
D_e : 0.012669, D_real_e : 0.008717, D_fake_e : 0.003952, G_e : 2.933624
D_e : 0.010631, D_real_e : 0.006065, D_fake_e : 0.004566, G_e : 3.218963
D_e : 0.024262, D_real_e : 0.006741, D_fake_e : 0.017522, G_e : 3.070988
D_e : 0.040575, D_real_e : 0.007609, D_fake_e : 0.032966, G_e : 2.380037
D_e : 0.021908, D_real_e : 0.015944, D_fake_e : 0.005964, G_e : 3.071546
D_e : 0.014010, D_real_e : 0.006070, D_fake_e : 0.007941, G_e : 2.838756
D_e : 0.018520, D_real_e : 0.008975, D_fake_e : 0.009546, G_e : 2.286500
D_e : 0.012377, D_real_e : 0.010056, D_fake_e : 0.002321, G_e : 3.168959
D_e : 0.028252, D_real_e : 0.014920, D_fake_e : 0.013332, G_e : 3.060491
D_e : 0.024652, D_real_e : 0.005439, D_fake_e : 0.019212, G_e : 2.876764
D_e : 0.008023, D_real_e : 0.007019, D_fake_e : 0.001004, G_e : 3.664402
D_e : 0.008618, D_real_e : 0.002949, D_fake_e : 0.005669, G_e : 2.456616
D_e : 0.003595, D_real_e : 0.001285, D_fake_e : 0.002311, G_e : 3.033481
D_e : 0.007666, D_real_e : 0.003562, D_fake_e : 0.004104, G_e : 2.881813
D_e : 0.009925, D_real_e : 0.005582, D_fake_e : 0.004342, G_e : 2.539936
D_e : 0.014843, D_real_e : 0.012697, D_fake_e : 0.002146, G_e : 3.587307
D_e : 0.010451, D_real_e : 0.008971, D_fake_e : 0.001480, G_e : 2.359997
