D_e : 0.201252, D_real_e : 0.042625, D_fake_e : 0.158627, G_e : 0.927183
D_e : 0.296248, D_real_e : 0.023403, D_fake_e : 0.272845, G_e : 1.152281
D_e : 0.194985, D_real_e : 0.047611, D_fake_e : 0.147374, G_e : 1.488126
D_e : 0.149388, D_real_e : 0.068806, D_fake_e : 0.080582, G_e : 1.615708
D_e : 0.111922, D_real_e : 0.037056, D_fake_e : 0.074866, G_e : 1.320118
D_e : 0.185750, D_real_e : 0.090762, D_fake_e : 0.094988, G_e : 1.237721
D_e : 0.126433, D_real_e : 0.072219, D_fake_e : 0.054214, G_e : 1.254077
D_e : 0.146860, D_real_e : 0.036147, D_fake_e : 0.110713, G_e : 1.263888
D_e : 0.161350, D_real_e : 0.103223, D_fake_e : 0.058127, G_e : 1.171693
D_e : 0.112398, D_real_e : 0.036080, D_fake_e : 0.076318, G_e : 0.873730
D_e : 0.144174, D_real_e : 0.109860, D_fake_e : 0.034314, G_e : 1.351637
D_e : 0.162633, D_real_e : 0.091505, D_fake_e : 0.071128, G_e : 0.918668
D_e : 0.112370, D_real_e : 0.032362, D_fake_e : 0.080009, G_e : 1.170698
D_e : 0.177190, D_real_e : 0.081276, D_fake_e : 0.095914, G_e : 1.516672
D_e : 0.160401, D_real_e : 0.081481, D_fake_e : 0.078920, G_e : 1.342558
D_e : 0.125788, D_real_e : 0.038047, D_fake_e : 0.087741, G_e : 1.409587
D_e : 0.126292, D_real_e : 0.085659, D_fake_e : 0.040633, G_e : 1.432746
D_e : 0.121349, D_real_e : 0.058957, D_fake_e : 0.062391, G_e : 1.695702
D_e : 0.151754, D_real_e : 0.105360, D_fake_e : 0.046394, G_e : 1.471441
D_e : 0.123984, D_real_e : 0.060263, D_fake_e : 0.063721, G_e : 0.900737
D_e : 0.171349, D_real_e : 0.063480, D_fake_e : 0.107869, G_e : 1.073115
D_e : 0.160219, D_real_e : 0.031490, D_fake_e : 0.128729, G_e : 1.351233
D_e : 0.107357, D_real_e : 0.022695, D_fake_e : 0.084662, G_e : 1.496534
D_e : 0.157025, D_real_e : 0.102105, D_fake_e : 0.054919, G_e : 1.512844
D_e : 0.084134, D_real_e : 0.045540, D_fake_e : 0.038595, G_e : 1.258175
D_e : 0.139053, D_real_e : 0.078292, D_fake_e : 0.060761, G_e : 1.080358
D_e : 0.071508, D_real_e : 0.039016, D_fake_e : 0.032492, G_e : 1.366438
D_e : 0.118085, D_real_e : 0.062785, D_fake_e : 0.055300, G_e : 1.121312
D_e : 0.119224, D_real_e : 0.069033, D_fake_e : 0.050190, G_e : 1.373555
D_e : 0.094812, D_real_e : 0.042109, D_fake_e : 0.052703, G_e : 1.589662
D_e : 0.145580, D_real_e : 0.043751, D_fake_e : 0.101829, G_e : 1.461715
D_e : 0.164312, D_real_e : 0.105577, D_fake_e : 0.058735, G_e : 1.294996
D_e : 0.148461, D_real_e : 0.057400, D_fake_e : 0.091061, G_e : 1.488279
D_e : 0.150889, D_real_e : 0.079048, D_fake_e : 0.071841, G_e : 1.472123
D_e : 0.130512, D_real_e : 0.032561, D_fake_e : 0.097951, G_e : 1.255331
D_e : 0.098343, D_real_e : 0.052697, D_fake_e : 0.045646, G_e : 1.477491
D_e : 0.156795, D_real_e : 0.026333, D_fake_e : 0.130462, G_e : 1.198741
D_e : 0.130510, D_real_e : 0.077457, D_fake_e : 0.053052, G_e : 1.500115
D_e : 0.175759, D_real_e : 0.119415, D_fake_e : 0.056344, G_e : 1.467287
D_e : 0.138049, D_real_e : 0.069328, D_fake_e : 0.068721, G_e : 1.225830
D_e : 0.127736, D_real_e : 0.064675, D_fake_e : 0.063062, G_e : 1.464287
D_e : 0.091792, D_real_e : 0.047941, D_fake_e : 0.043851, G_e : 1.555281
D_e : 0.096064, D_real_e : 0.028328, D_fake_e : 0.067736, G_e : 1.498711
D_e : 0.099158, D_real_e : 0.041290, D_fake_e : 0.057868, G_e : 1.628409
D_e : 0.085122, D_real_e : 0.021711, D_fake_e : 0.063411, G_e : 1.716261
D_e : 0.119569, D_real_e : 0.065833, D_fake_e : 0.053736, G_e : 1.693259
D_e : 0.084963, D_real_e : 0.053845, D_fake_e : 0.031118, G_e : 1.562978
D_e : 0.069472, D_real_e : 0.032859, D_fake_e : 0.036614, G_e : 1.735728
D_e : 0.096308, D_real_e : 0.041154, D_fake_e : 0.055154, G_e : 1.573018
D_e : 0.082061, D_real_e : 0.042284, D_fake_e : 0.039777, G_e : 1.544727
D_e : 0.094185, D_real_e : 0.033761, D_fake_e : 0.060424, G_e : 1.454805
D_e : 0.220202, D_real_e : 0.032557, D_fake_e : 0.187645, G_e : 1.048633
D_e : 0.084115, D_real_e : 0.037949, D_fake_e : 0.046166, G_e : 1.534834
D_e : 0.094113, D_real_e : 0.030682, D_fake_e : 0.063431, G_e : 1.668224
D_e : 0.182187, D_real_e : 0.129347, D_fake_e : 0.052840, G_e : 1.560301
D_e : 0.092969, D_real_e : 0.028108, D_fake_e : 0.064861, G_e : 1.766797
D_e : 0.156949, D_real_e : 0.068514, D_fake_e : 0.088434, G_e : 1.715538
